Lat	Long	Year	Month	Day	Depth	Temp	Salinity	Oxygen	pH
29.8088	-87.9971	1997	11	25	13	35.511	5.281	NA	NA
30.1019	-88.0574	1997	11	25	8	33.243	5.842	NA	NA
29.5584	-88.6484	1997	11	25	5.2	35.305	5.497	NA	NA
29.3898	-88.5731	1997	11	25	12	34.986	5.57	NA	NA
29.2337	-88.5034	1997	11	25	10.9	35.054	5.471	NA	NA
29.1651	-88.4713	1997	11	25	10.3	33.691	5.72	NA	NA
29.0578	-88.4231	1997	11	25	16.7	33.655	5.793	NA	NA
28.9434	-88.3699	1997	11	26	10.8	34.116	5.73	NA	NA
28.6604	-88.8992	1997	11	26	73.3	36.067	5.197	NA	NA
28.7978	-88.9436	1997	11	26	49.4	36.153	5.246	NA	NA
28.8948	-88.9747	1997	11	26	19.3	35.845	5.308	NA	NA
28.979	-89.0032	1997	11	26	11.2	33.769	5.717	NA	NA
29.0548	-89.0274	1997	11	26	7.8	31.512	6.029	NA	NA
28.7568	-90.2338	1998	1	13	0	30.606	NA	NA	NA
28.788	-90.2768	1998	1	13	0	31.233	NA	NA	NA
28.8283	-90.3977	1998	1	13	0	32.037	NA	NA	NA
28.857	-90.4597	1998	1	13	0	32.195	NA	NA	NA
28.869	-90.4678	1998	1	13	0	32.245	NA	NA	NA
28.9135	-90.4872	1998	1	13	0	32.282	NA	NA	NA
28.9493	-90.5243	1998	1	13	0	32.416	NA	NA	NA
28.9068	-90.5233	1998	1	13	0	29.242	NA	NA	NA
29.0573	-90.5327	1998	1	13	0	30.05	NA	NA	NA
28.7573	-90.2335	1998	2	8	0	27.035	NA	NA	NA
28.7875	-90.2788	1998	2	8	0	27.335	NA	NA	NA
28.8275	-90.3992	1998	2	8	0	28.217	NA	NA	NA
28.8578	-90.4598	1998	2	8	0	27.624	NA	NA	NA
28.8695	-90.468	1998	2	8	0	27.388	NA	NA	NA
28.9138	-90.4865	1998	2	8	0	26.57	NA	NA	NA
28.9502	-90.5242	1998	2	8	0	25.718	NA	NA	NA
28.9915	-90.5207	1998	2	8	0	25.67	NA	NA	NA
29.0567	-90.5313	1998	2	8	0	26.033	NA	NA	NA
27.0005	-79.2002	1998	2	23	8.0967	26.089	36.176	NA	NA
27.0008	-79.2828	1998	2	23	3.08	25.833	36.169	NA	NA
27.0013	-79.3808	1998	2	23	8.0968	26.275	36.078	NA	NA
27.0383	-79.481	1998	2	23	8.1011	26.487	36.1	NA	NA
27.013	-79.605	1998	2	23	8.1005	26.589	0	NA	NA
27.0203	-79.6743	1998	2	23	8.0959	25.932	36.199	NA	NA
27.002	-79.7883	1998	2	23	1.89	25.039	0	NA	NA
27.0063	-79.857	1998	2	23	8.084	23.971	36.157	NA	NA
26.999	-79.937	1998	2	23	8.0762	23.327	0	NA	NA
28.758	-90.236	1998	3	13	30	34.743	NA	NA	NA
28.7885	-90.278	1998	3	13	0	27.675	NA	NA	NA
28.8287	-90.3985	1998	3	13	0	28.269	NA	NA	NA
28.857	-90.46	1998	3	13	0	28.432	NA	NA	NA
28.8695	-90.4682	1998	3	13	0	28.577	NA	NA	NA
28.9138	-90.4872	1998	3	13	0	29.061	NA	NA	NA
28.9498	-90.5258	1998	3	13	0	30.25	NA	NA	NA
28.9915	-90.5218	1998	3	13	0	29.794	NA	NA	NA
29.0577	-90.5327	1998	3	13	0	28.847	NA	NA	NA
28.7615	-90.2355	1998	4	14	0	24.612	NA	NA	NA
28.7893	-90.2773	1998	4	14	0	25.576	NA	NA	NA
28.827	-90.395	1998	4	14	0	26.249	NA	NA	NA
28.8585	-90.4595	1998	4	14	0	26.41	NA	NA	NA
28.8698	-90.4675	1998	4	14	0	26.566	NA	NA	NA
30.8361	-80.7631	1998	4	14	0	19.1487	NA	NA	NA
28.9147	-90.4863	1998	4	14	0	26.767	NA	NA	NA
28.9503	-90.5245	1998	4	14	0	26.404	NA	NA	NA
28.9915	-90.5208	1998	4	14	0	26.276	NA	NA	NA
29.0567	-90.5317	1998	4	14	0	25.507	NA	NA	NA
30.8361	-80.7631	1998	4	14	0.241	19.1487	NA	NA	NA
30.9069	-81.3039	1998	4	15	0	19.7645	NA	NA	NA
30.9069	-81.3039	1998	4	15	0.108	19.7671	NA	NA	NA
30.2267	-81.29	1998	4	18	0	19.7881	NA	NA	NA
30.0764	-81.2467	1998	4	18	0	19.8512	NA	NA	NA
30.2267	-81.29	1998	4	18	0.108	19.7881	NA	NA	NA
30.0764	-81.2467	1998	4	18	0.641	19.8512	NA	NA	NA
30.4181	-80.9633	1998	4	21	0	20.4989	NA	NA	NA
30.4183	-81.1564	1998	4	21	0	20.2122	NA	NA	NA
30.4181	-80.9633	1998	4	21	0.197	20.4994	NA	NA	NA
30.4183	-81.1564	1998	4	21	0.108	20.2122	NA	NA	NA
32.2206	-80.1325	1998	4	22	0	18.2849	NA	NA	NA
32.3858	-80.2889	1998	4	22	0	21.1823	NA	NA	NA
32.2206	-80.1325	1998	4	22	0.286	18.3338	NA	NA	NA
32.3858	-80.2889	1998	4	22	0.02	21.0958	NA	NA	NA
32.3858	-80.2889	1998	4	23	0	19.5542	NA	NA	NA
32.3858	-80.2889	1998	4	23	0.286	19.5544	NA	NA	NA
32.6947	-79.7297	1998	4	24	0	18.9749	NA	NA	NA
32.6947	-79.7297	1998	4	24	0.241	18.9705	NA	NA	NA
31.875	-79.0367	1998	4	25	0	26.0657	NA	NA	NA
31.875	-79.0367	1998	4	25	0.33	26.0657	NA	NA	NA
32.9297	-79.2861	1998	4	26	0	18.8867	NA	NA	NA
32.9297	-79.2861	1998	4	26	0.552	18.8867	NA	NA	NA
32.9144	-79.2761	1998	4	27	0	19.4772	NA	NA	NA
32.8631	-79.4711	1998	4	27	0	20.3532	NA	NA	NA
32.9144	-79.2761	1998	4	27	0.064	19.4772	NA	NA	NA
32.8631	-79.4711	1998	4	27	0.419	20.3532	NA	NA	NA
